status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
1.0,18,4.0,2.0,1049,1.0,2.0,4.0,2.0,1.0,4.0,2.0,21,3.0,1.0,1,3.0,2,1.0,2.0,1
1.0,9,4.0,0.0,2799,1.0,3.0,2.0,3.0,1.0,2.0,1.0,36,3.0,1.0,2,3.0,1,1.0,2.0,1
2.0,12,2.0,9.0,841,2.0,4.0,2.0,2.0,1.0,4.0,1.0,23,3.0,1.0,1,2.0,2,1.0,2.0,1
1.0,12,4.0,0.0,2122,1.0,3.0,3.0,3.0,1.0,2.0,1.0,39,3.0,1.0,2,2.0,1,1.0,1.0,1
1.0,12,4.0,0.0,2171,1.0,3.0,4.0,3.0,1.0,4.0,2.0,38,1.0,2.0,2,2.0,0,1.0,1.0,1
1.0,10,4.0,0.0,2241,1.0,2.0,1.0,3.0,1.0,3.0,1.0,48,3.0,1.0,2,2.0,1,1.0,1.0,1
1.0,8,4.0,0.0,3398,1.0,4.0,1.0,3.0,1.0,4.0,1.0,39,3.0,2.0,2,2.0,2,1.0,1.0,1
1.0,6,4.0,0.0,1361,1.0,2.0,2.0,3.0,1.0,4.0,4.0,40,3.0,2.0,0,2.0,1,1.0,1.0,1
4.0,18,4.0,3.0,1098,1.0,1.0,4.0,2.0,1.0,4.0,3.0,65,3.0,2.0,2,1.0,2,1.0,2.0,1
2.0,24,2.0,3.0,3758,3.0,1.0,1.0,2.0,1.0,4.0,4.0,23,3.0,1.0,1,1.0,2,1.0,2.0,1
1.0,11,4.0,0.0,3905,1.0,3.0,2.0,3.0,1.0,2.0,1.0,36,3.0,1.0,2,3.0,1,1.0,2.0,1
1.0,30,4.0,1.0,6187,2.0,4.0,1.0,4.0,1.0,4.0,3.0,24,3.0,1.0,2,3.0,2,1.0,2.0,1
1.0,6,4.0,3.0,1957,1.0,4.0,1.0,2.0,1.0,4.0,3.0,31,3.0,2.0,1,3.0,2,1.0,2.0,1
2.0,48,3.0,10.0,7582,2.0,1.0,2.0,3.0,1.0,4.0,4.0,31,3.0,2.0,1,4.0,2,2.0,2.0,1
1.0,18,2.0,3.0,1936,5.0,4.0,2.0,4.0,1.0,4.0,3.0,23,3.0,1.0,2,2.0,2,1.0,2.0,1
1.0,6,2.0,3.0,2647,3.0,3.0,2.0,3.0,1.0,3.0,1.0,44,3.0,1.0,1,3.0,1,1.0,2.0,1
1.0,11,4.0,0.0,3939,1.0,3.0,1.0,3.0,1.0,2.0,1.0,40,3.0,2.0,2,3.0,1,1.0,2.0,1
2.0,18,2.0,3.0,3213,3.0,2.0,1.0,4.0,1.0,3.0,1.0,25,3.0,1.0,1,3.0,2,1.0,2.0,1
2.0,36,4.0,3.0,2337,1.0,5.0,4.0,3.0,1.0,4.0,1.0,36,3.0,2.0,1,4.0,2,1.0,2.0,1
4.0,11,4.0,0.0,7228,1.0,3.0,1.0,3.0,1.0,4.0,2.0,39,3.0,2.0,2,2.0,2,1.0,2.0,1
1.0,6,4.0,0.0,3676,1.0,3.0,1.0,3.0,1.0,3.0,1.0,37,3.0,1.0,3,3.0,1,1.0,2.0,1
2.0,12,4.0,0.0,3124,1.0,2.0,1.0,3.0,1.0,3.0,1.0,49,1.0,2.0,2,2.0,1,1.0,2.0,1
2.0,36,2.0,5.0,2384,1.0,2.0,4.0,3.0,1.0,1.0,4.0,33,3.0,1.0,1,2.0,2,1.0,2.0,0
