laufkont,laufzeit,moral,verw,hoehe,sparkont,beszeit,rate,famges,buerge,wohnzeit,verm,alter,weitkred,wohn,bishkred,beruf,pers,telef,gastarb,kredit,mixed_type_col
1.0,18.0,4.0,2.0,1049.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,21.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,bad
1.0,9.0,4.0,0.0,2799.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,36.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,
2.0, 12.0 ,2.0,9.0,841.0,2.0,4.0,2.0,2.0,1.0,4.0,1.0,23.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,unknown
1.0,12.0,4.0,0.0,2122.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,39.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,
1.0,12.0,4.0,0.0,2171.0,1.0,3.0,4.0,3.0,N/A,4.0, 2.0 ,38.0,1.0,2.0,2.0,2.0,error, 1.0 , 1.0 ,1.0,208
1.0, 10.0 ,4.0,0.0,2241.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,48.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,906
1.0,8.0,4.0,0.0,3398.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,39.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,56
1.0,6.0,4.0,0.0,1361.0, 1.0 ,2.0,2.0,3.0,1.0,4.0,829.0,40.0,3.0,2.0,,2.0,1.0, 1.0 ,1.0,1.0,
4.0,18.0,4.0,3.0,1098.0,1.0,1.0,4.0,2.0, 1.0 ,4.0,3.0,65.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,unknown
2.0,24.0,2.0, null ,3758.0,3.0,1.0,1.0,2.0,1.0,4.0,4.0,23.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,107
1.0,11.0,4.0,0.0,3905.0,1.0,3.0, 2.0 ,3.0,1.0,2.0,1.0,36.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,247
1.0,30.0,4.0,1.0,6187.0,2.0,4.0,1.0,4.0,1.0,4.0,3.0,24.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,490
1.0,6.0,4.0,3.0,1957.0,1.0,4.0,1.0,2.0,1.0,4.0,3.0,31.0,3.0, 2.0 ,1.0,3.0,2.0,1.0,2.0,1.0,276
2.0,48.0,3.0,10.0,7582.0,2.0,1.0,2.0,3.0,1.0,4.0,4.0,31.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,453
1.0,18.0,2.0,3.0,1936.0,5.0,4.0,2.0,4.0,1.0,4.0, 3.0 ,23.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,447
1.0,6.0,2.0,3.0,2647.0, 3.0 , 3.0 ,2.0,3.0,1.0,3.0,1.0,44.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,unknown
1.0,11.0,4.0,0.0,3939.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,40.0,3.0,2.0,2.0,invalid,1.0,1.0,2.0,1.0,59
2.0,18.0,2.0,3.0,3213.0,3.0,2.0,1.0,4.0,1.0, 3.0 ,1.0,25.0,3.0,1.0, 1.0 ,3.0,2.0,1.0,2.0,1.0,
2.0,36.0,4.0,3.0,2337.0,1.0,5.0,4.0,3.0,1.0,4.0,1.0,36.0,3.0,2.0,1.0,285.0,2.0,1.0,2.0,1.0,299
4.0,11.0,4.0,0.0,7228.0,?,,1.0,3.0,1.0,4.0,2.0,39.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,538
1.0,6.0,4.0,0.0,3676.0,1.0,3.0,1.0,3.0, 1.0 ,3.0,1.0,37.0,3.0,1.0,3.0, 3.0 ,1.0,1.0,2.0,1.0,60
2.0,12.0,4.0,0.0,3124.0,1.0,2.0,1.0,3.0,1.0, 3.0 ,1.0,49.0,1.0,2.0,2.0,2.0,1.0,1.0,60.0,1.0,870
2.0,36.0,2.0,5.0,2384.0,1.0,2.0,4.0,3.0,1.0,1.0,4.0,33.0, 3.0 ,1.0,1.0,2.0, 2.0 ,1.0,2.0,0.0,722
2.0,12.0,4.0,4.0, 1424.0 ,,4.0,4.0,3.0,1.0,3.0,2.0,26.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,unknown
1.0,6.0,4.0,0.0, 4716.0 ,5.0,2.0,1.0,3.0,1.0,3.0,1.0,44.0,3.0,2.0,2.0, 2.0 ,1.0,1.0,2.0,1.0,359
2.0,11.0,3.0,3.0,4771.0,1.0,4.0,2.0,3.0,1.0,4.0,2.0,51.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,316
1.0,12.0,2.0,2.0, 652.0 ,1.0,5.0,4.0,2.0,1.0,4.0,2.0,24.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,991
2.0,9.0,4.0, 3.0 ,1154.0,1.0,5.0,2.0,3.0,1.0,4.0,1.0,37.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,701
4.0,15.0,2.0,0.0,3556.0, 5.0 ,3.0, 3.0 ,3.0,1.0,2.0,4.0,29.0,3.0, 2.0 ,1.0,3.0,2.0,1.0,2.0, 1.0 ,460
3.0,42.0,4.0,1.0,4796.0, 1.0 ,5.0,4.0,3.0,1.0, 4.0 ,4.0,56.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0, 1.0 ,648
3.0,30.0,4.0,3.0,3017.0,1.0,5.0,4.0,3.0,invalid,4.0,2.0,47.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,64
,36.0,4.0,0.0,3535.0,1.0,4.0,4.0,3.0,error,4.0,3.0,37.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,bad
4.0,36.0,4.0,0.0,6614.0,1.0,5.0,4.0,3.0,1.0,4.0,3.0, 34.0 ,3.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,595
4.0,24.0,2.0,3.0,1376.0,3.0,4.0,4.0,2.0, 1.0 ,1.0,3.0,28.0, 3.0 ,2.0,1.0, 3.0 ,2.0,1.0,2.0,1.0,309
1.0,15.0,2.0,0.0,1721.0,1.0,2.0,2.0,3.0, 1.0 ,3.0,1.0,36.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,693
1.0,6.0,4.0,0.0,860.0,1.0,5.0,1.0,2.0,1.0,4.0,216.0, 39.0 ,3.0,2.0,2.0,3.0,,2.0,2.0,1.0,6
4.0,12.0,4.0,0.0,1495.0,1.0,5.0,4.0,3.0,1.0,1.0,1.0,38.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,490
4.0,12.0,4.0,3.0,1934.0,1.0,5.0,2.0,3.0,1.0,2.0,4.0,26.0,3.0,2.0, 2.0 , 3.0 ,2.0,1.0,2.0,1.0,unknown
4.0,18.0,2.0,1.0,3378.0,5.0,3.0,2.0,3.0,1.0,1.0,,31.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,unknown
4.0,24.0,4.0,1.0,3868.0,1.0,5.0, 4.0 ,2.0,1.0,2.0,3.0,41.0,3.0,1.0,2.0,4.0,2.0, 2.0 ,2.0,1.0,44
4.0,12.0,4.0,5.0,996.0,5.0,4.0,4.0,2.0, 1.0 , 4.0 , 1.0 ,23.0, 3.0 ,2.0,2.0,3.0,2.0,1.0,2.0,1.0,589
1.0,24.0,2.0,10.0,1755.0,1.0,5.0,4.0,2.0,3.0,4.0,1.0,58.0,3.0,2.0,1.0,2.0,2.0, 2.0 ,2.0,1.0,680
4.0,18.0,4.0,0.0,1028.0,1.0,3.0,4.0,,1.0,3.0,1.0,36.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,526
2.0,24.0,4.0,9.0,2825.0,5.0,4.0,4.0,3.0,1.0,3.0,4.0,34.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,
2.0,18.0,2.0,6.0,1239.0,5.0,3.0,4.0,3.0,1.0,4.0,4.0,,3.0,3.0,1.0,3.0,2.0,1.0,54.0,1.0,678
 1.0 ,18.0,2.0,0.0,1216.0,1.0,2.0,4.0,2.0,1.0,3.0,3.0,23.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,bad
4.0,24.0,2.0,9.0,1258.0, 1.0 ,4.0,4.0,3.0, 1.0 ,1.0,1.0,25.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,948
4.0,18.0,4.0,6.0,1864.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,30.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,838
4.0,24.0,2.0,0.0,1474.0,2.0,2.0,4.0, 4.0 ,1.0,3.0,1.0,33.0,3.0,2.0,1.0, 3.0 , 2.0 ,2.0,2.0,1.0,unknown
1.0,24.0,4.0,9.0,1382.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,26.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,419
4.0,12.0,2.0,0.0,640.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,49.0,3.0,176.0,1.0,2.0, 2.0 ,1.0,2.0,1.0,unknown
3.0,36.0,2.0,3.0,3919.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,23.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,bad
